Temperature,Humidity,Frequency,CO2 Level,Sound Intensity,Hive Health
33.74540118847362,47.405317153544786,90.46822734943623,434.54059884177957,77.15987634850778,0
39.50714306409916,61.67603789513433,89.87915196287999,459.33627943827446,84.16296987899959,0
37.31993941811405,74.91783343505634,116.25018322084146,350.0935797584998,82.80482789370477,1
35.98658484197037,69.28899545638245,89.98184799398024,424.9748199213998,64.61699714081321,0
31.560186404424364,72.262445914458,90.87798904514524,414.3491966287497,64.47748409224421,0
31.559945203362027,66.35133466842869,110.37593049671855,466.5660753576542,68.0452310323474,0
30.580836121681994,67.6910625807141,97.9895936980216,481.21741209625213,70.83224179023111,0
38.66176145774935,73.96782606261277,111.06842227820725,302.4313542954774,72.25366744225448,1
36.01115011743209,49.986720354367435,82.61464630257541,434.80398381175854,80.39091650500036,0
37.08072577796045,59.576998545725615,99.50284774693537,310.3671598239458,61.700412964975065,0
30.205844942958024,48.84837767278409,81.34454400733131,409.77173301547117,61.04018112678199,0
39.699098521619945,79.50672031986588,82.50612813821418,357.52654580873565,71.75731688831726,0
38.324426408004214,77.76237358746454,116.25749813377644,361.35531990442826,80.91491076413942,0
32.12339110678276,41.57707245474023,85.56981484470381,370.5917006904713,65.80306028869448,0
31.818249672071005,68.22300690062754,101.29682729100868,424.258489809922,79.24513443768755,0
31.83404509853434,77.00993269662663,96.44382410402827,366.80999313375384,67.79484413820899,0
33.042422429595376,47.223013805093345,93.8937330503537,446.53981011805604,86.58258326440549,0
35.24756431632238,62.717809222105174,115.9933338274909,380.90547711477393,86.8706983279985,1
34.31945018642116,76.61953190352168,80.87293587101958,313.6706400619917,68.9186161284398,0
32.91229140198042,41.35783914343195,106.55158744702356,456.75196849682146,66.89981261889722,0
36.118528947223794,67.8968106898736,118.53577736854201,357.1516649185412,72.33911916198694,0
31.39493860652042,51.89396029490203,102.40672733847367,386.55337591985256,67.21594755540445,0
32.921446485352185,76.97584781506121,117.47289848132368,437.08877664438035,80.1715152987511,0
33.663618432936914,78.84232980661471,82.09031517144095,366.4912314297424,84.78194053644856,0
